dataset,scope,page,test_type,chart_id,chart_title,series,category,value
students,Chute Middle School,home,,home-iep,IEP Status,,Has IEP,94.0
students,Chute Middle School,home,,home-iep,IEP Status,,No IEP,497.0
students,Chute Middle School,home,,home-lep,EL Status,,EL,84.0
students,Chute Middle School,home,,home-lep,EL Status,,Not EL,507.0
students,Chute Middle School,home,,home-race,Race/Ethnicity,,Asian,43.0
students,Chute Middle School,home,,home-race,Race/Ethnicity,,Black or African American,175.0
students,Chute Middle School,home,,home-race,Race/Ethnicity,,Hispanic or Latino,156.0
students,Chute Middle School,home,,home-race,Race/Ethnicity,,Multi-racial,59.0
students,Chute Middle School,home,,home-race,Race/Ethnicity,,White,153.0
students,Chute Middle School,home,,home-race,Race/Ethnicity,,Other*,5.0
students,Chute Middle School,home,,home-incidents,Incidents - SY27,,LVL1,134.0
students,Chute Middle School,home,,home-incidents,Incidents - SY27,,LVL2,51.0
students,Chute Middle School,home,,home-incidents,Incidents - SY27,,LVL3,26.0
students,Chute Middle School,home,,home-grade,Grade Level,,6,184.0
students,Chute Middle School,home,,home-grade,Grade Level,,7,209.0
students,Chute Middle School,home,,home-grade,Grade Level,,8,198.0
students,Chute Middle School,home,,home-ada,ADA,,value,93.99
students,Chute Middle School,home,,home-enrollment,Enrollment,,value,591.0
students,Chute Middle School,attendance,,students-count-att,summary counts,,Students,591.0
students,Chute Middle School,attendance,,students-count-att,summary counts,,IEP,94.0
students,Chute Middle School,attendance,,students-count-att,summary counts,,EL,84.0
students,Chute Middle School,attendance,,att-ada,ADA,,value,93.99
students,Chute Middle School,attendance,,att-cron-abs,Chronic Absenteeism (%),,value,21.15
students,Chute Middle School,discipline,,students-count-discipline,summary counts,,Incidents,211.0
students,Chute Middle School,discipline,,students-count-discipline,summary counts,,Students,95.0
students,Chute Middle School,discipline,,students-count-discipline,summary counts,,Minor Incidents,185.0
students,Chute Middle School,discipline,,students-count-discipline,summary counts,,Major Incidents,26.0
students,Chute Middle School,discipline,,school,Incidents by School,,Chute Middle School,211.0
students,Chute Middle School,discipline,,lvl,Incident Types,,LVL1,134.0
students,Chute Middle School,discipline,,lvl,Incident Types,,LVL2,51.0
students,Chute Middle School,discipline,,lvl,Incident Types,,LVL3,26.0
students,Chute Middle School,discipline,,months,Incidents by Month,,August,40.0
students,Chute Middle School,discipline,,months,Incidents by Month,,September,171.0
students,Chute Middle School,discipline,,race,Incidents by Race/Ethnicity,,American Indian or Alaska Native,2.0
students,Chute Middle School,discipline,,race,Incidents by Race/Ethnicity,,Asian,6.0
students,Chute Middle School,discipline,,race,Incidents by Race/Ethnicity,,Black or African American,128.0
students,Chute Middle School,discipline,,race,Incidents by Race/Ethnicity,,Hispanic or Latino,51.0
students,Chute Middle School,discipline,,race,Incidents by Race/Ethnicity,,Middle Eastern or North African,1.0
students,Chute Middle School,discipline,,race,Incidents by Race/Ethnicity,,White,23.0
students,Chute Middle School,discipline,,grade,Incidents by Grade,,6,58.0
students,Chute Middle School,discipline,,grade,Incidents by Grade,,7,50.0
students,Chute Middle School,discipline,,grade,Incidents by Grade,,8,103.0
students,Chute Middle School,assessments,STAR Reading,students-count-ast,summary counts,,Students,582.0
students,Chute Middle School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,44.0
students,Chute Middle School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,46.0
students,Chute Middle School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,210.0
students,Chute Middle School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,247.0
students,Chute Middle School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,35.0
