dataset,scope,page,test_type,chart_id,chart_title,series,category,value
students,Chute Middle School,assessments,STAR Reading Spanish,students-count-ast,summary counts,,Students,86.0
students,Chute Middle School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,16.0
students,Chute Middle School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Intervention,Intervention,19.0
students,Chute Middle School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,31.0
students,Chute Middle School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,18.0
students,Chute Middle School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,2.0
students,Chute Middle School,assessments,i-Ready Math,students-count-ast,summary counts,,Students,579.0
students,Chute Middle School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,3 or More Grade Levels Below,3 or More Grade Levels Below,100.0
students,Chute Middle School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,2 Grade Levels Below,2 Grade Levels Below,69.0
students,Chute Middle School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,1 Grade Level Below,1 Grade Level Below,186.0
students,Chute Middle School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Early On Grade Level,Early On Grade Level,141.0
students,Chute Middle School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Mid or Above Grade Level,Mid or Above Grade Level,83.0
students,Dawes Elementary School,home,,home-iep,IEP Status,,Has IEP,54.0
students,Dawes Elementary School,home,,home-iep,IEP Status,,No IEP,234.0
students,Dawes Elementary School,home,,home-lep,EL Status,,EL,65.0
students,Dawes Elementary School,home,,home-lep,EL Status,,Not EL,223.0
students,Dawes Elementary School,home,,home-race,Race/Ethnicity,,Asian,10.0
students,Dawes Elementary School,home,,home-race,Race/Ethnicity,,Black or African American,80.0
students,Dawes Elementary School,home,,home-race,Race/Ethnicity,,Hispanic or Latino,83.0
students,Dawes Elementary School,home,,home-race,Race/Ethnicity,,Multi-racial,32.0
students,Dawes Elementary School,home,,home-race,Race/Ethnicity,,White,81.0
students,Dawes Elementary School,home,,home-race,Race/Ethnicity,,Other*,2.0
students,Dawes Elementary School,home,,home-incidents,Incidents - SY27,,LVL1,30.0
students,Dawes Elementary School,home,,home-incidents,Incidents - SY27,,LVL2,8.0
students,Dawes Elementary School,home,,home-incidents,Incidents - SY27,,LVL3,24.0
students,Dawes Elementary School,home,,home-grade,Grade Level,,0,43.0
students,Dawes Elementary School,home,,home-grade,Grade Level,,1,45.0
students,Dawes Elementary School,home,,home-grade,Grade Level,,2,42.0
students,Dawes Elementary School,home,,home-grade,Grade Level,,3,48.0
students,Dawes Elementary School,home,,home-grade,Grade Level,,4,59.0
students,Dawes Elementary School,home,,home-grade,Grade Level,,5,51.0
students,Dawes Elementary School,home,,home-twi,TWI Status,,TWE,48.0
students,Dawes Elementary School,home,,home-twi,TWI Status,,TWS,50.0
students,Dawes Elementary School,home,,home-twi,TWI Status,,TWX,16.0
students,Dawes Elementary School,home,,home-ada,ADA,,value,95.53
students,Dawes Elementary School,home,,home-enrollment,Enrollment,,value,288.0
